Economic Freedom Index	Corruption Perceptions Index
7.8	36
4.97	35
4.75	19
5.78	40
7.92	35
8.23	77
7.8	76
6.37	25
7.62	65
7.16	36
6.04	26
6.22	68
6.35	44
7.56	75
6.2	40
6.63	68
6.3	29
6.9	38
7.6	61
6.56	35
6.6	63
7.74	42
5.85	41
5.94	17
7.41	57
7.28	20
5.85	25
8.17	81
5.27	26
5.71	19
7.96	67
6.21	39
6.71	36
5.15	20
5.03	19
7.62	56
6.09	35
7.36	48
7.84	59
7.81	59
8.1	88
7.58	30
6.46	34
5.38	35
7.41	35
7.96	73
6.27	38
5.61	34
7.76	85
7.4	72
5.86	31
7.14	37
8.18	58
7.85	80
6.65	41
6.71	45
7.7	27
5.57	28
5.46	16
6.68	37
6.58	20
7.28	29
8.94	76
7.44	46
7.71	76
6.56	41
7.39	38
4.8	28
5.61	18
8.13	73
7.62	61
7.51	52
7.69	44
7.88	73
7.62	49
7.12	31
6.84	27
7.69	57
6.6	41
6.99	29
6.62	29
7.89	58
6.88	28
6.65	41
6.28	32
4.72	17
8.1	59
7.75	81
6.2	25
5.79	32
7.58	47
5.93	32
7.94	54
6.22	27
8.21	51
7.21	28
6.99	33
7.43	37
6.94	45
6.7	43
5.94	23
5.81	29
6.52	53
6.48	31
7.82	82
8.53	87
7.05	25
5.85	34
6.93	27
7.15	37
7.6	84
6.79	52
6.07	33
7.8	37
6.39	28
7.23	29
7.76	35
7.43	36
7.04	60
7.6	64
6.88	62
7.83	47
6.74	28
7.39	56
6.31	49
6.27	45
7.05	39
7.49	66
5.87	30
8.65	85
7.63	50
7.33	60
6.73	43
7.73	58
6.88	38
4.21	16
6.37	43
7.58	85
8.43	85
6.05	25
6.73	36
6.75	36
6.29	35
6.25	30
7.26	41
6.07	43
6.62	41
7.55	26
6.06	32
7.05	70
8.08	80
8.22	71
7.25	70
6.2	33
7.19	35
5.12	22
